model,level,ELPD,SE,lower,upper
probability change,first-order,-890.5133517177936,44.541295527527815,-935.0546472453215,-845.9720561902658
entropy change,first-order,-734.368062338619,48.533221838002035,-782.9012841766211,-685.8348405006169
KL utility,first-order,-750.4047210236928,47.586316580962475,-797.9910376046553,-702.8184044427303
BF utility,first-order,-531.3299104661389,51.6645230160276,-582.9944334821665,-479.6653874501113
commitment change,second-order,-1092.1603186923523,45.17540394495083,-1137.3357226373032,-1046.9849147474015
concentration change,second-order,-1020.4606827791368,46.70262743698647,-1067.1633102161234,-973.7580553421503
entropy change (2nd-order),second-order,-845.5187197612676,47.995184315912,-893.5139040771795,-797.5235354453556
KL utility (2nd-order),second-order,-732.7334876949457,49.13879657934604,-781.8722842742917,-683.5946911155996
BF utility (2nd-order),second-order,-805.0064978240846,49.98779859004565,-854.9942964141302,-755.018699234039
