comparison,measure,posterior,HDI (low),HDI (high)
non-answer < low certainty,relevance,1,1.8378098333333333,2.514051366666667
low certain < high certain,relevance,0.9965,0.187276833333333,0.9252033333333333
high certain < exhaustive,relevance,1,0.9756084666666667,1.896011666666666
answer: pos < neg,relevance,0.4415,-0.32871633333333317,0.24787222222222227
context: neutral > pos,relevance,0.976,0.010310157142857101,0.32440199999999997
context: neutral > neg,relevance,0.883,-0.05634300000000003,0.21896191428571443
